date,adj_close
2005-01-03,44.222557067871094
2005-01-04,43.75907516479492
2005-01-05,43.9932746887207
2005-01-06,44.02320098876953
2005-01-07,44.122901916503906
2005-01-10,44.19261169433594
2005-01-11,44.4517936706543
2005-01-12,44.511592864990234
2005-01-13,44.940181732177734
2005-01-14,44.9351806640625
2005-01-18,45.08467483520508
2005-01-19,45.21421432495117
2005-01-20,45.303955078125
2005-01-21,45.353759765625
2005-01-24,45.54813003540039
2005-01-25,45.11954116821289
2005-01-26,45.20426940917969
2005-01-27,45.11954116821289
2005-01-28,45.573036193847656
2005-01-31,45.70258331298828
2005-02-01,45.630088806152344
2005-02-02,45.735103607177734
2005-02-03,45.710113525390625
2005-02-04,46.345428466796875
2005-02-07,46.690555572509766
2005-02-08,46.9556770324707
2005-02-09,47.080718994140625
2005-02-10,46.44541931152344
2005-02-11,46.415409088134766
2005-02-14,46.56050491333008
2005-02-15,46.325382232666016
2005-02-16,46.150325775146484
2005-02-17,45.86014938354492
2005-02-18,45.450008392333984
2005-02-22,45.24991989135742
2005-02-23,45.39998245239258
2005-02-24,45.2999382019043
2005-02-25,45.52001190185547
2005-02-28,45.02982711791992
2005-03-01,45.01578140258789
2005-03-02,44.95556640625
2005-03-03,44.93043518066406
2005-03-04,45.417179107666016
2005-03-07,45.597835540771484
2005-03-08,45.16633224487305
2005-03-09,44.42866134643555
2005-03-10,44.69964599609375
2005-03-11,44.37348937988281
2005-03-14,44.63941955566406
2005-03-15,44.35841751098633
2005-03-16,44.6293830871582
2005-03-17,44.77493667602539
2005-03-18,44.493927001953125
2005-03-21,44.36849594116211
2005-03-22,43.99211120605469
2005-03-23,44.202842712402344
2005-03-24,44.29320526123047
2005-03-28,44.02218246459961
2005-03-29,44.28313446044922
2005-03-30,44.503936767578125
2005-03-31,44.82509231567383
2005-04-01,44.97621536254883
2005-04-04,44.96609878540039
2005-04-05,44.85026168823242
2005-04-06,45.00642013549805
2005-04-07,44.64374923706055
2005-04-08,44.799903869628906
