date,adj_close
2005-01-03,39.9681282043457
2005-01-04,39.43612289428711
2005-01-05,39.16331100463867
2005-01-06,39.350868225097656
2005-01-07,39.22467803955078
2005-01-10,39.381561279296875
2005-01-11,39.14284896850586
2005-01-12,39.31678771972656
2005-01-13,39.009849548339844
2005-01-14,39.183773040771484
2005-01-18,39.61004638671875
2005-01-19,39.2553825378418
2005-01-20,39.01667785644531
2005-01-21,38.815467834472656
2005-01-24,38.6074333190918
2005-01-25,38.70635223388672
2005-01-26,38.94505310058594
2005-01-27,38.999629974365234
2005-01-28,38.856388092041016
2005-01-31,39.251991271972656
2005-02-01,39.47364807128906
2005-02-02,39.65439224243164
2005-02-03,39.45659637451172
2005-02-04,39.951087951660156
2005-02-07,39.93404006958008
2005-02-08,40.002235412597656
2005-02-09,39.62709426879883
2005-02-10,39.763511657714844
2005-02-11,40.087501525878906
2005-02-14,40.097713470458984
2005-02-15,40.2409553527832
2005-02-16,40.24776840209961
2005-02-17,39.98517990112305
2005-02-18,39.9681282043457
2005-02-22,39.36451721191406
2005-02-23,39.57252883911133
2005-02-24,39.87263107299805
2005-02-25,40.271629333496094
2005-02-28,40.07045364379883
2005-03-01,40.298919677734375
2005-03-02,40.264827728271484
2005-03-03,40.30915832519531
2005-03-04,40.7149658203125
2005-03-07,40.81729507446289
2005-03-08,40.55810546875
2005-03-09,40.1898078918457
2005-03-10,40.118167877197266
2005-03-11,39.98858642578125
2005-03-14,40.1863899230957
2005-03-15,39.97494125366211
2005-03-16,39.63051223754883
2005-03-17,39.67826843261719
2005-03-18,39.593013763427734
2005-03-21,39.47023391723633
2005-03-22,39.13261413574219
2005-03-23,39.10194778442383
2005-03-24,39.111515045166016
2005-03-28,39.14573287963867
2005-03-29,38.817100524902344
2005-03-30,39.344295501708984
2005-03-31,39.320316314697266
2005-04-01,39.15259552001953
2005-04-04,39.28268814086914
2005-04-05,39.40591812133789
2005-04-06,39.49492263793945
2005-04-07,39.71059036254883
2005-04-08,39.36826705932617
2005-04-11,39.337459564208984
2005-04-12,39.53942108154297
2005-04-13,39.111515045166016
2005-04-14,38.649375915527344
2005-04-15,38.03315734863281
2005-04-18,38.17008972167969
2005-04-19,38.49188995361328
2005-04-20,37.944156646728516
2005-04-21,38.66305160522461
2005-04-22,38.409732818603516
2005-04-25,38.78629684448242
2005-04-26,38.36864471435547
