date,close
2/25/2005,47.4533
2/28/2005,47.8986
3/1/2005,47.74
3/2/2005,47.6695
3/3/2005,47.977
3/4/2005,48.1723
3/7/2005,48.3836
3/8/2005,48.4868
3/9/2005,48.1307
3/10/2005,47.859
3/11/2005,47.8074
3/14/2005,47.5703
3/15/2005,47.9542
3/16/2005,47.3849
3/17/2005,47.128
3/18/2005,47.2659
3/21/2005,47.1111
3/22/2005,47.0378
3/23/2005,46.5468
3/24/2005,46.3583
3/28/2005,46.3961
3/29/2005,46.3167
3/30/2005,46.2205
3/31/2005,46.6549
4/1/2005,46.887
4/4/2005,46.3583
4/5/2005,46.5468
4/6/2005,46.7808
4/7/2005,46.8265
4/8/2005,47.0466
4/11/2005,46.7065
4/12/2005,46.5647
4/13/2005,46.8027
4/14/2005,46.3325
4/15/2005,45.7236
4/18/2005,45.059
4/19/2005,45.4895
4/20/2005,45.6303
4/21/2005,45.4231
4/22/2005,45.7057
4/25/2005,45.7484
4/26/2005,45.7325
4/27/2005,45.3259
4/28/2005,45.5213
4/29/2005,45.307
5/2/2005,45.6433
5/3/2005,45.6869
5/4/2005,45.9031
5/5/2005,46.3583
5/6/2005,46.521
5/9/2005,46.275
5/10/2005,46.2354
5/11/2005,46.1967
5/12/2005,46.3325
5/13/2005,45.8297
5/16/2005,45.6303
5/17/2005,45.9537
5/18/2005,46.638
5/19/2005,46.9484
5/20/2005,47.013
5/23/2005,47.1111
5/24/2005,47.2341
5/25/2005,47.2341
5/26/2005,47.2659
5/27/2005,47.3531
5/31/2005,47.4613
6/1/2005,47.3313
6/2/2005,47.5525
6/3/2005,47.7935
6/6/2005,47.5525
6/7/2005,47.723
6/8/2005,47.7618
6/9/2005,47.4097
6/10/2005,47.8134
6/13/2005,47.6874
6/14/2005,47.7935
6/15/2005,48.1446
6/16/2005,48.0186
6/17/2005,48.5691
6/20/2005,48.3291
6/21/2005,48.4868
6/22/2005,48.5691
6/23/2005,48.4689
6/24/2005,47.8748
6/27/2005,47.4097
6/28/2005,47.5297
6/29/2005,47.9264
6/30/2005,47.8748
7/1/2005,47.612
7/5/2005,47.6348
7/6/2005,48.0801
7/7/2005,47.249
7/8/2005,47.8986
7/11/2005,48.4689
7/12/2005,48.823
7/13/2005,48.947
7/14/2005,49.1711
7/15/2005,49.0263
7/18/2005,48.9698
7/19/2005,48.8062
7/20/2005,49.0581
7/21/2005,49.3506
7/22/2005,49.0749
7/25/2005,49.4796
7/26/2005,49.2604
7/27/2005,49.3189
7/28/2005,49.5768
7/29/2005,49.8118
8/1/2005,49.6184
8/2/2005,49.6363
8/3/2005,49.7632
8/4/2005,49.8118
8/5/2005,49.3754
8/8/2005,49.1711
8/9/2005,49.1155
8/10/2005,49.3992
8/11/2005,49.2118
8/12/2005,49.2763
8/15/2005,49.2763
8/16/2005,49.3259
8/17/2005,48.7992
8/18/2005,48.6634
8/19/2005,48.9202
8/22/2005,49.0025
8/23/2005,48.8696
8/24/2005,48.695
8/25/2005,48.5691
8/26/2005,48.5939
8/29/2005,48.2457
8/30/2005,48.4163
8/31/2005,48.3836
9/1/2005,49.0105
9/2/2005,49.1087
9/6/2005,49.0323
9/7/2005,49.546
9/8/2005,49.5024
9/9/2005,49.5858
9/12/2005,49.8118
9/13/2005,49.8693
9/14/2005,49.5202
9/15/2005,49.4875
9/16/2005,49.5292
9/19/2005,49.546
9/20/2005,49.5768
9/21/2005,48.8389
9/22/2005,48.3677
9/23/2005,48.5691
9/26/2005,48.8062
9/27/2005,48.6852
9/28/2005,48.7674
9/29/2005,48.587
9/30/2005,49.4964
10/3/2005,49.3189
10/4/2005,49.2921
10/5/2005,48.6276
10/6/2005,47.9542
10/7/2005,47.6973
10/10/2005,47.8748
10/11/2005,47.4949
10/12/2005,47.3313
10/13/2005,46.9406
10/14/2005,47.1677
10/17/2005,47.2659
10/18/2005,47.5297
10/19/2005,46.8592
10/20/2005,47.733
10/21/2005,47.2738
10/24/2005,47.4613
10/25/2005,47.8986
10/26/2005,47.8411
10/27/2005,47.5882
10/28/2005,47.4007
10/31/2005,48.1049
11/1/2005,48.1942
11/2/2005,48.1942
11/3/2005,49.0025
11/4/2005,48.9549
11/7/2005,49.0749
11/8/2005,48.8528
11/9/2005,48.9113
11/10/2005,48.9946
11/11/2005,49.4161
11/14/2005,49.6026
11/15/2005,49.5292
11/16/2005,49.3447
11/17/2005,49.5202
11/18/2005,49.9903
11/21/2005,50.1609
11/22/2005,50.4268
11/23/2005,50.6549
11/25/2005,50.8621
11/28/2005,51.0635
11/29/2005,50.509
11/30/2005,50.5765
12/1/2005,50.5518
12/2/2005,50.9087
12/5/2005,50.8621
12/6/2005,50.9365
12/7/2005,50.8007
12/8/2005,50.5924
12/9/2005,50.7055
12/12/2005,50.9267
12/13/2005,50.7134
12/14/2005,51.1409
12/15/2005,51.2678
12/16/2005,51.1806
12/19/2005,50.9971
12/20/2005,50.5765
12/21/2005,50.8354
12/22/2005,50.8929
12/23/2005,51.0477
12/27/2005,50.9087
12/28/2005,50.4268
12/29/2005,50.4833
12/30/2005,50.0171
1/3/2006,50.1699
1/4/2006,50.8275
1/5/2006,51.0893
1/6/2006,51.4334
1/9/2006,51.6397
1/10/2006,51.6477
1/11/2006,51.9085
1/12/2006,51.9799
1/13/2006,51.7567
1/17/2006,51.5793
1/18/2006,51.1716
1/19/2006,51.5475
1/20/2006,51.6795
1/23/2006,50.9177
1/24/2006,51.0972
1/25/2006,51.2936
1/26/2006,51.367
1/27/2006,51.5088
1/30/2006,51.8738
1/31/2006,51.7895
2/1/2006,51.6635
2/2/2006,51.7251
2/3/2006,51.1409
2/6/2006,51.1409
2/7/2006,51.1032
2/8/2006,50.7907
2/9/2006,51.242
2/10/2006,50.9623
2/13/2006,51.0814
2/14/2006,50.8849
2/15/2006,51.367
2/16/2006,51.6397
2/17/2006,51.9879
2/21/2006,52.0484
2/22/2006,51.7805
2/23/2006,52.0573
2/24/2006,51.972
2/27/2006,52.1972
2/28/2006,52.1574
3/1/2006,51.9799
3/2/2006,52.1178
3/3/2006,52.0166
3/6/2006,52.1724
3/7/2006,51.606
3/8/2006,51.3938
3/9/2006,51.7033
3/10/2006,51.3452
3/13/2006,51.9879
3/14/2006,51.9085
3/15/2006,52.3806
3/16/2006,52.823
3/17/2006,52.7913
3/20/2006,52.7913
3/21/2006,52.4818
3/22/2006,52.222
3/23/2006,52.4401
3/24/2006,52.5255
3/27/2006,52.4997
3/28/2006,52.5879
3/29/2006,52.222
3/30/2006,52.7645
3/31/2006,52.6583
4/3/2006,52.6841
4/4/2006,52.6266
4/5/2006,52.8716
4/6/2006,53.0422
4/7/2006,53.1314
4/10/2006,52.6028
4/11/2006,52.6335
4/12/2006,52.0662
4/13/2006,51.9541
4/17/2006,52.0573
4/18/2006,52.2626
4/19/2006,53.0094
4/20/2006,53.0808
4/21/2006,53.4469
4/24/2006,53.1056
4/25/2006,53.0174
4/26/2006,52.9271
4/27/2006,52.5155
4/28/2006,52.9668
5/1/2006,53.3169
5/2/2006,53.1056
5/3/2006,53.1146
5/4/2006,53.2435
5/5/2006,53.43
5/8/2006,53.7225
5/9/2006,53.7225
5/10/2006,53.7305
5/11/2006,53.5609
5/12/2006,52.7238
5/15/2006,52.0752
5/16/2006,52.4163
5/17/2006,51.9373
5/18/2006,51.375
5/19/2006,51.1409
5/22/2006,50.9267
5/23/2006,51.4424
5/24/2006,50.5518
5/25/2006,51.1032
5/26/2006,51.5981
5/30/2006,51.6705
5/31/2006,51.0635
6/1/2006,51.3848
6/2/2006,52.2904
6/5/2006,51.9373
6/6/2006,51.3204
6/7/2006,51.119
6/8/2006,50.509
6/9/2006,50.9267
6/12/2006,50.7362
6/13/2006,49.7553
6/14/2006,49.1553
6/15/2006,50.0083
6/16/2006,50.6549
6/19/2006,50.6162
6/20/2006,49.9279
6/21/2006,50.0241
6/22/2006,50.4506
6/23/2006,50.2264
6/26/2006,50.2879
6/27/2006,50.2502
6/28/2006,50.0241
6/29/2006,50.3752
6/30/2006,51.4682
7/3/2006,51.5088
7/5/2006,51.3006
7/6/2006,51.3006
7/7/2006,51.367
7/10/2006,51.1032
7/11/2006,50.9971
7/12/2006,51.2073
7/13/2006,50.3752
7/14/2006,49.7632
7/17/2006,49.5292
7/18/2006,49.5292
7/19/2006,49.8287
7/20/2006,50.6886
7/21/2006,50.0083
7/24/2006,49.8436
7/25/2006,50.4268
7/26/2006,50.7362
7/27/2006,51.0893
7/28/2006,50.7451
7/31/2006,51.1548
8/1/2006,50.9623
8/2/2006,51.119
8/3/2006,50.8621
8/4/2006,51.8341
8/7/2006,51.2242
8/8/2006,51.2856
8/9/2006,51.2768
8/10/2006,50.4664
8/11/2006,50.8621
8/14/2006,51.004
8/15/2006,51.2678
8/16/2006,51.6397
8/17/2006,51.9006
8/18/2006,52.1098
8/21/2006,51.9879
8/22/2006,51.9155
8/23/2006,52.0166
8/24/2006,51.9799
8/25/2006,51.8341
8/28/2006,51.6953
8/29/2006,52.093
8/30/2006,52.2804
8/31/2006,52.4302
9/1/2006,52.5879
9/5/2006,52.6495
9/6/2006,52.5483
9/7/2006,52.0028
9/8/2006,51.9541
9/11/2006,52.0256
9/12/2006,52.2308
9/13/2006,52.7645
9/14/2006,52.8865
9/15/2006,53.1314
9/18/2006,52.943
9/19/2006,53.1572
9/20/2006,53.194
9/21/2006,53.3338
9/22/2006,52.7982
9/25/2006,52.6743
9/26/2006,52.9916
9/27/2006,53.3338
9/28/2006,53.5123
9/29/2006,53.4379
10/2/2006,53.3338
10/3/2006,53.0888
10/4/2006,53.1731
10/5/2006,53.8624
10/6/2006,53.9894
10/9/2006,53.9496
10/10/2006,54.1024
10/11/2006,54.0648
10/12/2006,54.2581
10/13/2006,54.6162
10/16/2006,54.7699
10/17/2006,54.7858
10/18/2006,55.0932
10/19/2006,54.755
10/20/2006,54.9078
10/23/2006,54.6618
10/24/2006,55.0298
10/25/2006,55.2212
10/26/2006,55.5892
10/27/2006,55.5792
10/30/2006,55.1537
10/31/2006,55.3799
11/1/2006,55.4325
